Year,Month,Day,Hour,Minute,Second,T,Height,Date
2021,3,23,8,0,0,1,5658.921,2021-03-23 08:00:00
2021,3,23,7,45,0,1,5658.93,2021-03-23 07:45:00
2021,3,23,7,30,0,1,5658.937,2021-03-23 07:30:00
2021,3,23,7,15,0,1,5658.937,2021-03-23 07:15:00
2021,3,23,7,0,0,1,5658.933,2021-03-23 07:00:00
2021,3,23,6,45,0,1,5658.923,2021-03-23 06:45:00
2021,3,23,6,30,0,1,5658.912,2021-03-23 06:30:00
2021,3,23,6,15,0,1,5658.894,2021-03-23 06:15:00
2021,3,23,6,0,0,1,5658.874,2021-03-23 06:00:00
2021,3,23,5,45,0,1,5658.85,2021-03-23 05:45:00
2021,3,23,5,30,0,1,5658.82,2021-03-23 05:30:00
2021,3,23,5,15,0,1,5658.789,2021-03-23 05:15:00
2021,3,23,5,0,0,1,5658.756,2021-03-23 05:00:00
2021,3,23,4,45,0,1,5658.72,2021-03-23 04:45:00
2021,3,23,4,30,0,1,5658.684,2021-03-23 04:30:00
2021,3,23,4,15,0,1,5658.644,2021-03-23 04:15:00
2021,3,23,4,0,0,1,5658.606,2021-03-23 04:00:00
2021,3,23,3,45,0,1,5658.567,2021-03-23 03:45:00
2021,3,23,3,30,0,1,5658.531,2021-03-23 03:30:00
2021,3,23,3,15,0,1,5658.493,2021-03-23 03:15:00
2021,3,23,3,0,0,1,5658.457,2021-03-23 03:00:00
2021,3,23,2,45,0,1,5658.425,2021-03-23 02:45:00
2021,3,23,2,30,0,1,5658.393,2021-03-23 02:30:00
2021,3,23,2,15,0,1,5658.365,2021-03-23 02:15:00
2021,3,23,2,0,0,1,5658.337,2021-03-23 02:00:00
2021,3,23,1,45,0,1,5658.313,2021-03-23 01:45:00
2021,3,23,1,30,0,1,5658.293,2021-03-23 01:30:00
2021,3,23,1,15,0,1,5658.277,2021-03-23 01:15:00
2021,3,23,1,0,0,1,5658.263,2021-03-23 01:00:00
2021,3,23,0,45,0,1,5658.256,2021-03-23 00:45:00
2021,3,23,0,30,0,1,5658.253,2021-03-23 00:30:00
2021,3,23,0,15,0,1,5658.249,2021-03-23 00:15:00
2021,3,23,0,0,0,1,5658.251,2021-03-23 00:00:00
2021,3,22,23,45,0,1,5658.258,2021-03-22 23:45:00
2021,3,22,23,30,0,1,5658.267,2021-03-22 23:30:00
2021,3,22,23,15,0,1,5658.278,2021-03-22 23:15:00
2021,3,22,23,0,0,1,5658.289,2021-03-22 23:00:00
2021,3,22,22,45,0,1,5658.306,2021-03-22 22:45:00
2021,3,22,22,30,0,1,5658.323,2021-03-22 22:30:00
2021,3,22,22,15,0,1,5658.343,2021-03-22 22:15:00
2021,3,22,22,0,0,1,5658.363,2021-03-22 22:00:00
2021,3,22,21,45,0,1,5658.382,2021-03-22 21:45:00
2021,3,22,21,30,0,1,5658.402,2021-03-22 21:30:00
2021,3,22,21,15,0,1,5658.421,2021-03-22 21:15:00
2021,3,22,21,0,0,1,5658.44,2021-03-22 21:00:00
2021,3,22,20,45,0,1,5658.457,2021-03-22 20:45:00
2021,3,22,20,30,0,1,5658.472,2021-03-22 20:30:00
2021,3,22,20,15,0,1,5658.483,2021-03-22 20:15:00
2021,3,22,20,0,0,1,5658.494,2021-03-22 20:00:00
2021,3,22,19,45,0,1,5658.499,2021-03-22 19:45:00
2021,3,22,19,30,0,1,5658.501,2021-03-22 19:30:00
2021,3,22,19,15,0,1,5658.5,2021-03-22 19:15:00
2021,3,22,19,0,0,1,5658.497,2021-03-22 19:00:00
2021,3,22,18,45,0,1,5658.488,2021-03-22 18:45:00
2021,3,22,18,30,0,1,5658.476,2021-03-22 18:30:00
2021,3,22,18,15,0,1,5658.461,2021-03-22 18:15:00
2021,3,22,18,0,0,1,5658.441,2021-03-22 18:00:00
2021,3,22,17,45,0,1,5658.417,2021-03-22 17:45:00
2021,3,22,17,30,0,1,5658.391,2021-03-22 17:30:00
2021,3,22,17,15,0,1,5658.359,2021-03-22 17:15:00
